no,indonesia,english
1,Halo apa kabar?,Hello how are you?
2,Saya suka belajar pemrograman,I like to learn programming
3,Cuaca hari ini sangat cerah,The weather is very sunny today
4,Selamat pagi semua,Good morning everyone
5,Terima kasih atas bantuannya,Thank you for your help
6,Saya sedang belajar bahasa Inggris,I am learning English
7,Dia pergi ke sekolah setiap hari,He goes to school every day
8,Kami makan siang bersama,We have lunch together
9,Buku ini sangat menarik,This book is very interesting
10,Saya suka membaca novel,I like reading novels
11,Mereka bermain sepak bola di lapangan,They play football on the field
12,Ibu saya memasak makanan enak,My mother cooks delicious food
13,Ayah saya bekerja di kantor,My father works in an office
14,Adik saya masih kecil,My younger sibling is still small
15,Kakak saya kuliah di universitas,My older sibling studies at university
16,Hari ini adalah hari yang indah,Today is a beautiful day
17,Saya ingin pergi ke pantai,I want to go to the beach
18,Mereka sedang menonton film,They are watching a movie
19,Komputer saya rusak kemarin,My computer broke yesterday
20,Saya harus mengerjakan tugas,I have to do my homework
21,Dia sangat pintar dalam matematika,He is very smart in mathematics
22,Kami akan pergi berlibur minggu depan,We will go on vacation next week
23,Saya suka mendengarkan musik,I like listening to music
24,Mereka belajar di perpustakaan,They study in the library
25,Guru saya sangat baik,My teacher is very kind
26,Saya bangun pagi setiap hari,I wake up early every day
27,Dia membeli buku baru,She bought a new book
28,Kami bermain game bersama,We play games together
29,Saya suka makan nasi goreng,I like eating fried rice
30,Mereka pergi ke taman,They go to the park
31,Pemrosesan Bahasa Alami adalah cabang AI,Natural Language Processing is a branch of AI
32,Machine learning sangat penting,Machine learning is very important
33,Teknologi berkembang sangat cepat,Technology develops very quickly
34,Saya belajar coding setiap hari,I learn coding every day
35,Python adalah bahasa pemrograman populer,Python is a popular programming language
36,Data science adalah bidang yang menarik,Data science is an interesting field
37,Kecerdasan buatan mengubah dunia,Artificial intelligence is changing the world
38,Saya suka belajar hal baru,I like learning new things
39,Internet sangat berguna,The internet is very useful
40,Smartphone memudahkan komunikasi,Smartphones make communication easier
41,Aplikasi mobile sangat populer,Mobile applications are very popular
42,Website ini sangat informatif,This website is very informative
43,Saya menggunakan laptop untuk bekerja,I use a laptop to work
44,Email adalah alat komunikasi penting,Email is an important communication tool
45,Media sosial menghubungkan orang,Social media connects people
46,Saya suka fotografi,I like photography
47,Video game sangat menghibur,Video games are very entertaining
48,Musik membuat saya bahagia,Music makes me happy
49,Olahraga itu menyehatkan,Exercise is healthy
50,Membaca buku menambah pengetahuan,Reading books increases knowledge
